sentiment,content
1,quotmy problem not miss cause dontquot
1,do already one proof nothing fair world
1,hungry no food steal
0,foot hurtfinally bedwill not forget crunch oververy productive day today though
1,really ill atm
1,hi_im_chris can not get mine keep get error
0,coconutfriend not happy enjoy cos thoughtful like see yaya hav follower woop
1,megfitzgerald heart hurt
0,tommcfly ahhhhhhh 16th birthday can not belive find see yous tonight good present everr lt333333333
1,say miss cousin badly
1,hate song
0,kelseyrose56 wish go still come nicole preprom nicolesx319 can not wait preprom
1,mscrismusic wish u
0,listenin da beach girl5 itune
1,enjoy great sunshine indoor not feel good today
1,leave nola today count second til start cry love place much
1,stick office till warm outside
0,quotbad word crutch lead tattoo peircingsquot hahahaha
1,petronella really want shish kebab go settle toast
1,mileycyrus sorryyy milerz can not vote would love vote not work sad frustrade _ _
1,emiily_kate know heap awesome not work weekend
1,work miserable day
1,dougiemcfly hehe hate cold totaly annoying
0,mysoli aw sorry ur day suck u see post abt car issue lol think safe say get well tho beerthirty
0,yay bannerbomb wii finally run homebrew wii
0,suzyqbee10 awesome not think ever blogge
0,cooky milk make feel well thank babe still recuperate last night
0,goldi_m except site near airport dixon lil starbuck gps head hehe
1,wish not rain
0,xhayleeey finally get ready see msn ahaha fun fun fun
1,drink cordial yes bored
0,watch bone finale last night uk amp rock oh much miss zack ericmillegan freakin awesome lt3
0,cocotian course adorable face
1,tearlesspoet hmmm really weird idk one sowwy
1,ng01 get poor thing not go to choice much long though
0,followmyjourney oh girl get baby go bed pm
1,another week start
1,feed pain
0,choose britney dance showcase yesss can not wait day
0,desert_paradise hi dale welcome man hope ur weekend go well think would enjoy desert paradise fun fun fun
1,gym day hop enjoy last friday twenty
0,karen230683 morning hope u r well bed soon
1,shanelapoint hey hunnie u miss talkin u ty follow
0,botse cute picture not get fat lick bbqs must find chop someone else
0,aaah good bye mikee smoke crab
1,stomach hurt
1,glad get clear lah idk linda hat though
1,realize spell quotadorablequot wrong tweet mindykale must hate
0,karen230683 good good
0,follower bom dia
1,feel like dream get crush
1,clear intellectually sever relationship good yet heart seem b complete disagreement hurt much
1,not happy ipod laptop not know whih one decide refuse let sync song live without
1,work starve
0,mrcartersnurse congratulation mom tomorrow buena noche
0,look like beautiful dayand work til sunday yay no bbq yet though go to postpone invitation
1,california sunny not make kinda sad
